fignum,chapter,title,subtitle,source,fname
7.8,7,"Iconic 3D barometric maps, bipolar scale","Galton’s barometric maps for December 8, 1861. Gray and black symbols represent, respectively, lower and higher barometric pressure than average, with degrees of divergence ranging from ⃝ through ⨀, and ✻ to ●.","Francis Galton, Meteorographica, or Methods of Mapping the Weather. London: Macmillan, 1863.",7.8-galton1861-dec8-barom.jpg
7.9,7,Two-way star / radar diagrams,"“Comparison of the numbers attending the Expositions of 1867, 1878 and 1889” (Exposition Universelle de 1889: Comparaison du Nombre des Entrées aux Expositions de 1867, 1878 et 1889). In each star-shaped figure the length of the radial dimension shows the number of paid entrants on each day of the month.","Caisse nationale des retraites pour la vieillesse. Album de Statistique Graphique. Paris: Imprimerie Nationale, 1889, Plate 21.",7.9-c_calendar-2.png
8.1,8,Picturing a higher-dimensional plane in 2D,"Karl Pearson tries to show a solution to the problem of fitting a plane of closest fit. In 2D, the fitted plane appears as a line.","Karl Pearson, “LIII. On Lines and Planes of Closest Fit to Systems of Points in Space,” London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science, 2:11 (1901), 559–572, page 560.",8.1-pearson1901.png
8.2,8,Contour map of magnetic declination,"Edmund Halley drew lines of equal magnetic declination on a map, possibly the first contour map of a data-based variable. The figure shows the map for the Atlantic Ocean. The curve are the isogonal lines, with the degree of magnetic declination given as numbers along each. The thick line is the agonic line of no variation where the compass reading is true; the dashed line with ships shows the track of Halley’s second voyage.","Edmond Halley, A New and Correct Chart Shewing the Variations of the Compass in the Western & Southern Oceans as Observed in ye Year 1700 by his Maties Command, 1701.",8.2-halley-map-300.jpg
8.3,8,Detail showing Halley’s observations,This figure shows the central portion of Halley’s map with the locations of his observations. The triangles show the locations of observations from the first voyage; circles show those from the second voyage.,"Detail from Lori L. Murray and David R. Bellhouse, “How Was Edmond Halley’s Map of Magnetic Declination (1701) Constructed?,” Imago Mundi, 69 (2017):1, 72–84, Plate 10.",8.3-halley-Lori-imago-detail.jpg
8.4,8,Contour map of a bivariate table,"The graph shows the level curves of recordings of soil temperature measured over time, for months of one year (horizontal axis) by hours of the day. The maximum temperature occurs in early July, around 3:00 PM.","L. F. Kaemtz, Cours complet de météorologie. Paris: Paulin, 1845, Appendix figure 2.",8.4-Lalanne_APC-1846-1.tif
8.5,8,Population density of Paris,"Louis-Léger Vauthier showed the population density of Paris by many contour levels representing densities of 200 to 1,200 people per unit area.","Louis-Léger Vauthier, 1874.",8.5-vauthier2.jpg
8.6,8,Axonometric projection of a 3D surface,The labeled points and connecting lines are meant to illustrate how surfaces and lines appear when projected onto the planes formed by the coordinate axes.,"Gustav Zeuner, Abhandlungen aus der mathematischen statistik. Leipzig: Verlag von Arthur Felix, 1869, fig. 4.",8.6-zeuner-fig4.png
8.7,8,3D population pyramid,"Luigi Perozzo showed the age distributions of the population of Sweden from 1750 to 1875 as a three-dimensional surface. Census years go from left to right, age is shown front (old) to back (young), and the height of the surface represents the count of people of that age.","Luigi Perozzo, “Stereogrammi Demografici – Seconda memo- ria dell’Ingegnere Luigi Perozzo. (Tav. V),” Annali di Statistica, Serie 2, Vol. 22, (Ministero d’Agricoltura, Industria e Commercio, Direzione di Statistica), 1881, pp. 1–20.",8.7-Perozzo1880-cropped.jpg
8.8,8,3D statistical sculpture,"Perozzo created this 3D model of the population data as a tangible object, perhaps the first statistical sculpture.",Centre Pompidou.,8.8-perozzo-breton.jpg
9.1,9,The Horse in Motion,"Photographs of the horse “Sally Gardner”running at a gallop, June 19, 1878.","Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-06607.",9.1-horse-in-motion-1878-muybridge.jpg
9.10,9,Early examples of CRT displays,CRT displays from 1950 to 1965.,(top) National Institute of Standards and Technology/Wikimedia Commons; (bottom) Todd Dailey / Wikimedia Commons / CC BY-SA 2.0.,9.10-CRT-209232-displays_05_original.jpg
9.11,9,Dimensions of color similarity,Ekman’s five-factor solution for the similarities among colors.,"Gosta Ekman, “Dimensions of color vision,” Journal of Psychology, 38:2 (1954), pp. 467–474, fig. 3. Reprinted with permission of Taylor & Francis Ltd.",9.11-Ekman1954-Fig3.png
9.12,9,The first statistical movie,"Four frames from the multidimensional scaling movie, the first animation of a statistical algorithm. Left: initial configuration for fourteen colors; right: final configuration, making the order of interpoint distances most closely agree with the order of the similarity judgments.","J. B. Kruskal, Multidimensional Scaling, AT&T Bell Laboratories, 1962.",9.12-MDS-frames-2.png
9.13,9,RANDU,Plot of successive pairs of 800 random numbers generated by the RANDU algorithm. Nothing unusual stands out: the points appear to be randomly and uniformly distributed in the unit square.,© The Authors.,9.13-randu-2d.png
9.14,9,RANDU in 3D,"Three-dimensional plots of successive triples of 400 sets of random numbers generated by RANDU. The left panel shows the positions of the points in a standard unit cube, with axes x[i], x[i+1], x[i+2]. The right figure shows the same plot rotated slightly. The points now appear on 15 parallel planes in 3-space, indicating their systematic (non-random) pattern.",© The Authors.,9.14a-randu0.pdf
9.14,9,RANDU in 3D,"Three-dimensional plots of successive triples of 400 sets of random numbers generated by RANDU. The left panel shows the positions of the points in a standard unit cube, with axes x[i], x[i+1], x[i+2]. The right figure shows the same plot rotated slightly. The points now appear on 15 parallel planes in 3-space, indicating their systematic (non-random) pattern.",© The Authors.,9.14b-randu1.pdf
9.15,9,Diabetes data,Reproduction of a graph similar to that from Reaven and Miller (1968) on the relationship between glucose and insulin response to being given an oral dose of glucose.,© The Authors.,9.15-diabetes1.png
9.16,9,PRIM9 view,"Artist’s rendition of the data from Reaven and Miller (1979) as seen in three dimensions using the PRIM-9 system. Labels have been added by the author, identifying the three groups of patients.","G. M. Reaven and R. G. Miller, “An attempt to define the nature of chemical diabetes using a multidimensional analysis,” Diabetologia, 16 (1979), pp. 17–24, fig. 1. Reprinted by permission from Springer Nature.",
9.17,9,DataDesk,"A multiwindow graphics system for the Apple Macintosh, providing dynamic graphics, linked plots and brushing. The plot windows show a scatterplot, a 3D plot that can be rotated around any axis, a histogram, a boxplot and a parallel-coordinates plot. A collection of plot control buttons is shown at the right.",DataDesk / YouTube.,9.17-datadesk1.png
9.18,9,Moving bubble chart,"Three frames of an animated sequence, plotting life expectancy against income per person for 142 nations from 1809 to 2015. Income is plotted on a log scale. The bubble area is proportional to total population and is colored by geographic region in the original. China has been selected to track its position over time.",Gapminder.,9.18-gapminder-sequence-c.png
9.2,9,Seeing motion,Zoopraxiscope disk showing thirteen images of a kicking horse. The frames at the bottom show the sequence of extension of the hind legs together with the support of the fore legs.,Wikimedia Commons.,9.2-Zoopraxiscope_16485u.jpg
9.3,9,Recording flight,"A harness, designed to register the trajectory, force and speed of a bird’s wing in flight.","Étienne-Jules Marey, La machine animale, locomotion terestre et aérienne. Paris: Librairie Germer Baillière, 1873, fig. 104.",9.3-marey-bird.png
9.4,9,Photographic gun,"One of Marey’s photographic guns. The cylinder at the top holds the film roll, recording twenty-four images over a two-second period.",Wikimedia Commons.,9.4-800px-Fusil_de_Marey_p1040353.jpg
9.5,9,Starting a sprint,Chronophotograph of a runner beginning a sprint.,"Étienne-Jules Marey, Flight/WordPress.com.",9.5-etienne-jules-marey-running.jpg
9.6,9,Falling cat,"Successive images of a falling cat, captured at twelve frames per second on a chronophotographic device. The sequence starts at the upper left, and is continued at the left of the lower panel.","“Photographs of a Tumbling Cat,” Nature, 51:1308 (1894), pp. 80–81, fig. 1.",9.6-Falling_cat_1894.jpg
9.7,9,Visual proof,"Computer-drawn images of rotation according to the mathematical model, overlaid on photographs of a falling cat.","T. R. Kane and M. P. Sher, “A Dynamical Explanation of the Falling Cat Phenomenon,” International Journal Solids Struc- tures, 5 (1969), pp. 663–670, fig. 6. Reprinted with permission from Elsevier.",9.7-KaneScher-Fig6.png
9.8,9,Parametric apple,Computer-generated image of an apple using parametric equations for the 3D solid surface. Rendering of the surface uses methods to simulate illumination from a light source in front of the viewer.,© The Authors.,9.8-apple3d.png
9.9,9,3D graphics model of a cat,"Left: the form of the cat is defined by a wire frame consisting of points and connecting lines; right: the model of the cat has had fur applied and is then animated, twisting as it falls.",nonecg.com.,9.9-Cat-wireframe-rigged.png
P.1,P,Lascaux,A section of one side of the Chamber of the Bulls from the Lascaux cave.,HistoriaGames,
P.10,P,Playfair’s time-series chart,"William Playfair’s 1821 time-series graph of prices, wages, and ruling monarch over a 250-year period.","William Playfair, A Letter on our agricultural distresses, their causes and remedies. London: W. Sams, 1821. Image courtesy of Stephen Stigler.",
P.11,P,Multivariate glyph map,"Galton’s glyph map of wind, cloud cover and rain on the evening of December 7, 1861. The U-shaped icons open toward the direction of the wind and are filled in relation to its strength; a circle indicates calm. Stippled and hatched backgrounds range from clear through degrees of cloud to snow and rain.","Francis Galton, Meteorographica, or Methods of Mapping the Weather. London: Macmillan, 1863.",
P.12,P,Multivariate schematic mini-maps,"Francis Galton, “Charts of the Thermometer, Wind, Rain and Barometer on the Morning, Afternoon and Evening on Each Day during December 1861.” Each daily panel is a 3x3 display of the combinations of barometric pressure, wind and rain and temperature by morning, noon and afternoon.","Francis Galton, Meteorographica, or Methods of Mapping the Weather. London: Macmillan, 1863.",
P.13,P,Multivariate schematic mini-maps,"Legend: Top: Legend in the bottom right of Plate 12, showing the use of color, shape, texture, and other visual attributes to portray quantitative variables. Bottom: Detail for December 5, from the top left corner.","Francis Galton, Meteorographica, or Methods of Mapping the Weath- er. London: Macmillan, 1863.",
P.14,P,Mosaics/treemaps,"Francis Walker, Chart showing the principal constituents of each state (1874). Bottom left: detail for Missouri showing the subdivisions by race and origin; above: full plate, with annotated labels added.","United States Census Office, Statistical Atlas of the United States Based on the Results of the Ninth Census 1870. New York: Julius Bien, 1874, Plate 20. (Annotations added by authors.)",
P.15,P,Galton’s isochronic chart of travel time,Isolevel contours of equal travel time from London are depicted by shading.,"Reproduction courtesy of Royal Geographical Society, S0011891.",
P.16,P,MDS solution,"Re-creation of the MDS solution for Ekman’s color similarities data. This figure represents the final configuration of the points shown in the right-most panel of the MDS movie, Figure 9.12. The dashed circle is at the average distance of the points from the origin.",© The Authors.,
P.17,P,Minard: imports of cotton,"A sequence of three graphs showing the sources of cotton imports to Europe for 1858, 1864, and 1865. The metaphorical blue river represents imports from the United States, the orange from India.","Library of Congress, item 99463789.",
P.18,P,Population density map,The distribution of the population of Negroes in the United States. Shading color shows “Negroes per square mile.”,"Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-33900.",
P.19,P,Flow maps of migration,"Figurative maps showing the flows of non-White migrants in America, 1880–1940, using a design inspired by Minard and Du Bois.","R. J. Andrews and Howard Wainer, “The Great Migration: A Graphics Novel,” Significance, 14:3 (2017), pp. 14–19, Figure 5. (c) The Royal Statistical Society.",
P.2,P,Radial diagram,"Farr’s radial diagram of temperature and mortality in London by week for the years 1840–1850. The yearly charts are arranged row-wise from 1840 at the top left. The chart at the bottom right corner shows the average over the years 1840–1849. In each chart, weeks of the year are arranged clockwise, starting from January 1 at 6:35.","General Register Office, Report on the mortality of cholera in England, 1848-49. London: Printed by W. Clowes, for H.M.S.O., 1852",
P.20,P,Flow maps for 1940,"Maps showing the numbers of internal migrants by birthplace and place of residence, as recorded in the 1940 US Census, categorized by racial group, using a design inspired by Minard.","R. J. Andrews and Howard Wainer, “The Great Migration: A Graphics Novel,” Significance, 14:3 (2017), pp. 14–19, Figure 6. (c) The Royal Statistical Society.",
P.3,P,Snow’s map enhanced,"Re-drawn and enhanced versions of a central portion of Snow’s map of the cholera data using the most historically accurate known data digitized from the map. Deaths are shown by the jittered points, and the six pumps in this region by labeled triangles. Two guides for interpretation were added: Voronoi polygons showing the region of the map closest to each pump (left), and shaded contours of the intensity of deaths from cholera (right).",© The Authors.,
P.4,P,Nightingale mortality diagram,"A radial diagram showing the number of deaths from preventible zymotic diseases (outer, blue wedges) compared with deaths from wounds (red) and from all other causes (gray). Right: data for April 1854 to March 1855; left: data for April 1855 to March 1865 after the arrival of the Sanitary Commission.",Wikimedia Commons.,
P.5,P,First pie chart,"Playfair’s 1801 graphic depiction of fifteen nations’ size, location, population and revenue. Its representation of the location of the Turkish Empire was the first pie chart.","William Playfair, The Statistical Breviary, (London) 1801.",
P.6,P,First pie charts on a map,"Minard’s 1858 divided-circle map, showing the amounts and proportions of butcher’s meats supplied to the Paris market. Segments show the relative proportions of beef, port, and lamb. It is the first known use of pie charts in thematic cartography, and also show the total by area.",Wikimedia Commons.,
P.7,P,Pie map of Paris transport,"Bottom portion of Plate 17 from the Album de Statistique Graphique of 1885, showing transport of goods to the ports of Paris and the principal maritime ports in 1883. The sectors of the circle-diagrams show the composition by type and area shows the total tonnage.","Ministère des Travaux Publics, Album de Statistique Graphique de 1885. Paris: Imprimerie Nationale, 1885, Plate 17.",
P.8,P,The long view of history,Playfair’s “Chart of Universal Commercial History.”,"William Playfair, An Inquiry Into the Permanent Causes of the Decline and Fall of Powerful and Wealthy Nations . . . Designed to Shew How the Prosperity of the British Empire May Be Prolonged. London: Greenland and Norris, 1805.",
P.9,P,Polarization of politics,"Ridgeline plot showing the increasing polarization of U.S. House of Representatives and Senate in the Democratic (left, blue) and Republican (right, red) parties from 1963 to 2013. The DW-NOMINATE scores attempt to characterize the main dimensions that distinguish voting patterns of U.S. legislators. The first dimension, plotted here, is interpreted as a liberal-conservative or left-right dimension.",Rpubs.,
