"chapter";"fig";"fignum";"filename";"title";"subtitle";"source"
"9";8;"9.8";"09_8-apple3d.png";"Parametric apple";"Computer-generated image of an apple using parametric equations for the 3D solid surface. Rendering of the surface uses methods to simulate illumination from a light source in front of the viewer. ";"© The Authors."
"9";9;"9.9";"09_9-Cat-wireframe-rigged.png";"3D graphics model of a cat";"Left: the form of the cat is defined by a wire frame consisting of points and connecting lines; right: the model of the cat has had fur applied and is then animated, twisting as it falls. ";"nonecg.com."
"9";10;"9.10";"09_10a-displays_05_original.png, 09_10b-displays_05_original.png";"Early examples of CRT displays";"CRT displays from 1950 to 1965. ";"(top) National Institute of Standards and Technology/Wikimedia Commons; (bottom) Todd Dailey / Wikimedia Commons / CC BY-SA 2.0."
"9";11;"9.11";"09_11-Ekman1954-Fig3.png";"Dimensions of color similarity";"Ekman’s five-factor solution for the similarities among colors. ";"Gosta Ekman, “Dimensions of color vision,” Journal of Psychology, 38:2 (1954), pp. 467–474, fig. 3. Reprinted with permission of Taylor & Francis Ltd."
"9";12;"9.12";"09_12-MDS-frames-2.png";"The first statistical movie";"Four frames from the multidimensional scaling movie, the first animation of a statistical algorithm. Left: initial configuration for fourteen colors; right: final configuration, making the order of interpoint distances most closely agree with the order of the similarity judgments. ";"J. B. Kruskal, Multidimensional Scaling, AT&T Bell Laboratories, 1962."
"9";13;"9.13";"09_13-randu-2d.png";"RANDU";"Plot of successive pairs of 800 random numbers generated by the RANDU algorithm. Nothing unusual stands out: the points appear to be randomly and uniformly distributed in the unit square. ";"© The Authors."
"9";14;"9.14";"09_14a-randu0.pdf, 09_14b-randu1.pdf";"RANDU in 3D";"Three-dimensional plots of successive triples of 400 sets of random numbers generated by RANDU. The left panel shows the positions of the points in a standard unit cube, with axes x[i], x[i+1], x[i+2]. The right figure shows the same plot rotated slightly. The points now appear on 15 parallel planes in 3-space, indicating their systematic (non-random) pattern. ";"© The Authors."
"9";15;"9.15";"09_15-diabetes1.png";"Diabetes data";"Reproduction of a graph similar to that from Reaven and Miller (1968) on the relationship between glucose and insulin response to being given an oral dose of glucose. ";"© The Authors."
"9";16;"9.16";"09_16-ReavenMiller-3d-annotated.png";"PRIM9 view";"Artist’s rendition of the data from Reaven and Miller (1979) as seen in three dimensions using the PRIM-9 system. Labels have been added by the author, identifying the three groups of patients. ";"G. M. Reaven and R. G. Miller, “An attempt to define the nature of chemical diabetes using a multidimensional analysis,” Diabetologia, 16 (1979), pp. 17–24, fig. 1. Reprinted by permission from Springer Nature."
"9";17;"9.17";"09_17-datadesk1.png";"DataDesk";"A multiwindow graphics system for the Apple Macintosh, providing dynamic graphics, linked plots and brushing. The plot windows show a scatterplot, a 3D plot that can be rotated around any axis, a histogram, a boxplot and a parallel-coordinates plot. A collection of plot control buttons is shown at the right. ";"DataDesk / YouTube."
"9";18;"9.18";"09_18-gapminder-sequence-c.png";"Moving bubble chart";"Three frames of an animated sequence, plotting life expectancy against income per person for 142 nations from 1809 to 2015. Income is plotted on a log scale. The bubble area is proportional to total population and is colored by geographic region in the original. China has been selected to track its position over time. ";"Gapminder."
"10";1;"10.1";"10_1-MannGulch-cropped.png";"Mann Gulch fire";"Distance and time graph of the estimated positions of the crew and the fire. Distances are estimated from the crew’s turnaround at point (Pt. 6). The slopes of the lines indicate the rate of movement; the steeper the line, the faster the rate. The entire tragedy took less than thirty minutes. ";"Norman Maclean, Young Men and Fire. Chicago: University of Chicago Press, 1992, page 269."
"10";2;"10.2";"10_2-Kovno-cropped.png";"Kovno Ghetto";"The population losses in the Kovno Ghetto due primarily to the“Great Action” of October 28, 1941. Males are represented on the left, females on the right. The shaded portion represents those still surviving in November. The central column indicates the age groups from 0–9-year-olds at the bottom to 70 and older at the top. ";"United States Holocaust Museum."
"10";3;"10.3";"10_3-Minard-march.png";"Napoleon march graphic";"Charles Joseph Minard’s narrative map of Napoleon’s disastrous 1812 Russian campaign. The width of the gray “river” is proportional to the size of Napoleon’s invading army; its black continuation shows the size of the returning army. ";"Reproduction courtesy of Archives, École Nationale des Ponts et Chaussées."
"10";4;"10.4";"10_4-Minard-Hannibal.png";"Hannibal graphic";"Minard’s depiction of Hannibal’s army, as it treks across Spain and France on a brilliant military campaign, but then suffers huge losses attempting to cross the Alps. ";"Reproduction courtesy of Archives, École Nationale des Ponts et Chaussées."
"10";5;"10.5";"10_5-Leonardo-uterus.png";"Da Vinci’s notebook";"Leonardo’s graphic story of a fetus told with words and incomparable pictures that disproved Galen of Pergamum’s claim about women’s bicameral uterus, which had persisted unchallenged for 1,400 years. ";"Wikimedia Commons."
"10";6;"10.6";"10_6-DuBois-slaves.png";"Effect of the Emancipation Proclamation";"“Proportion of freemen and slaves among American Negroes, from 1790 to 1870.” ";"Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-33913."
"10";7;"10.7";"10_7-DuBois-negro-pop-cropped.png";"Du Bois’s bar chart";"Increase of the Negro population of the United States from 1750 until 1890. ";"Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-33901."
"10";8;"10.8";"10_8-Dubois-negro-pop.jpg";"Cartogram maps";"“Negro population of the United States compared with the total population of other countries.” ";"Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-33903."
"10";9;"10.9";"10_9-DuBois-map2.png";"Cartogram maps";"“Proportion of Negroes in the total population of the United States.” ";"Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-33904."
"10";10;"10.10";"10_10-DuBois-pop.png";"Relative growth line chart";"“Comparative rate of increase of the White and Negro elements of the population of the United States.” ";"Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-33902."
"P";1;"P.1";"P_01-Lascaux-high-res.jpg";"Lascaux";"A section of one side of the Chamber of the Bulls from the Lascaux cave. ";"HistoriaGames"
"P";2;"P.2";"P_02-temperature-mortality.png";"Radial diagram";"Farr’s radial diagram of temperature and mortality in London by week for the years 1840–1850. The yearly charts are arranged row-wise from 1840 at the top left. The chart at the bottom right corner shows the average over the years 1840–1849. In each chart, weeks of the year are arranged clockwise, starting from January 1 at 6:35. ";"General Register Office, Report on the mortality of cholera in England, 1848-49. London: Printed by W. Clowes, for H.M.S.O., 1852"
"P";3;"P.3";"P_03a-SnowMap-neighborhoods.png, P_03b-SnowMap-density.png";"Snow’s map enhanced";"Re-drawn and enhanced versions of a central portion of Snow’s map of the cholera data using the most historically accurate known data digitized from the map. Deaths are shown by the jittered points, and the six pumps in this region by labeled triangles. Two guides for interpretation were added: Voronoi polygons showing the region of the map closest to each pump (left), and shaded contours of the intensity of deaths from cholera (right). ";"© The Authors."
"P";4;"P.4";"P_04-Nightingale-mortality.jpg";"Nightingale mortality diagram";"A radial diagram showing the number of deaths from preventible zymotic diseases (outer, blue wedges) compared with deaths from wounds (red) and from all other causes (gray). Right: data for April 1854 to March 1855; left: data for April 1855 to March 1865 after the arrival of the Sanitary Commission. ";"Wikimedia Commons."
"P";5;"P.5";"P_05-playfair-1801-plate1.png";"First pie chart";"Playfair’s 1801 graphic depiction of fifteen nations’ size, location, population and revenue. Its representation of the location of the Turkish Empire was the first pie chart. ";"William Playfair, The Statistical Breviary, (London) 1801."
"P";6;"P.6";"P_06-Minard-carte-viande-1858.png";"First pie charts on a map";"Minard’s 1858 divided-circle map, showing the amounts and proportions of butcher’s meats supplied to the Paris market. Segments show the relative proportions of beef, port, and lamb. It is the first known use of pie charts in thematic cartography, and also show the total by area. ";"Wikimedia Commons."
"P";7;"P.7";"P_07-album-1883-navigation-bottom-2.png";"Pie map of Paris transport";"Bottom portion of Plate 17 from the Album de Statistique Graphique of 1885, showing transport of goods to the ports of Paris and the principal maritime ports in 1883. The sectors of the circle-diagrams show the composition by type and area shows the total tonnage. ";"Ministère des Travaux Publics, Album de Statistique Graphique de 1885. Paris: Imprimerie Nationale, 1885, Plate 17."
"P";8;"P.8";"P_08-playfair1805-inquiry-crop.jpg";"The long view of history";"Playfair’s “Chart of Universal Commercial History.” ";"William Playfair, An Inquiry Into the Permanent Causes of the Decline and Fall of Powerful and Wealthy Nations . . . Designed to Shew How the Prosperity of the British Empire May Be Prolonged. London: Greenland and Norris, 1805."
"P";9;"P.9";"P_09-joyplot-politics.png";"Polarization of politics";"Ridgeline plot showing the increasing polarization of U.S. House of Representatives and Senate in the Democratic (left, blue) and Republican (right, red) parties from 1963 to 2013. The DW-NOMINATE scores attempt to characterize the main dimensions that distinguish voting patterns of U.S. legislators. The first dimension, plotted here, is interpreted as a liberal-conservative or left-right dimension. ";"Rpubs."
"P";10;"P.10";"P_10-playfair-wheat.jpg";"Playfair’s time-series chart";"William Playfair’s 1821 time-series graph of prices, wages, and ruling monarch over a 250-year period. ";"William Playfair, A Letter on our agricultural distresses, their causes and remedies. London: W. Sams, 1821. Image courtesy of Stephen Stigler."
"P";11;"P.11";"P_11-galton1861-dec8-map.jpg";"Multivariate glyph map";"Galton’s glyph map of wind, cloud cover and rain on the evening of December 7, 1861. The U-shaped icons open toward the direction of the wind and are filled in relation to its strength; a circle indicates calm. Stippled and hatched backgrounds range from clear through degrees of cloud to snow and rain. ";"Francis Galton, Meteorographica, or Methods of Mapping the Weather. London: Macmillan, 1863."
"P";12;"P.12";"P_12-galton_pressure_1861.jpg";"Multivariate schematic mini-maps";"Francis Galton, “Charts of the Thermometer, Wind, Rain and Barometer on the Morning, Afternoon and Evening on Each Day during December 1861.” Each daily panel is a 3x3 display of the combinations of barometric pressure, wind and rain and temperature by morning, noon and afternoon. ";"Francis Galton, Meteorographica, or Methods of Mapping the Weather. London: Macmillan, 1863."
"P";13;"P.13";"P_13a-galton-summary-symbols.jpg, P_13b-galton1861-dec5-detail.png";"Multivariate schematic mini-maps";"Legend: Top: Legend in the bottom right of Plate 12, showing the use of color, shape, texture, and other visual attributes to portray quantitative variables. Bottom: Detail for December 5, from the top left corner. ";"Francis Galton, Meteorographica, or Methods of Mapping the Weath- er. London: Macmillan, 1863."
"P";14;"P.14";"P_14a-1870_race_mosaic.tif";"Mosaics/treemaps";"Francis Walker, Chart showing the principal constituents of each state (1874). Bottom left: detail for Missouri showing the subdivisions by race and origin; above: full plate, with annotated labels added. ";"United States Census Office, Statistical Atlas of the United States Based on the Results of the Ninth Census 1870. New York: Julius Bien, 1874, Plate 20. (Annotations added by authors.)"
"P";15;"P.15";"P_15-galton1881-isochronic-map.jpg";"Galton’s isochronic chart of travel time";"Isolevel contours of equal travel time from London are depicted by shading. ";"Reproduction courtesy of Royal Geographical Society, S0011891."
"P";16;"P.16";"P_16-Ekman-config.png";"MDS solution";"Re-creation of the MDS solution for Ekman’s color similarities data. This figure represents the final configuration of the points shown in the right-most panel of the MDS movie, Figure 9.12. The dashed circle is at the average distance of the points from the origin. ";"© The Authors."
"P";17;"P.17";"#N/A";"Minard: imports of cotton";"A sequence of three graphs showing the sources of cotton imports to Europe for 1858, 1864, and 1865. The metaphorical blue river represents imports from the United States, the orange from India. ";"Library of Congress, item 99463789."
"P";18;"P.18";"P_18-DuBois-distribution.jpg";"Population density map";"The distribution of the population of Negroes in the United States. Shading color shows “Negroes per square mile.” ";"Library of Congress, Prints and Photographs Division, LC-DIG-ppmsca-33900."
"P";19;"P.19";"P_19-RJ-migration1.jpg";"Flow maps of migration";"Figurative maps showing the flows of non-White migrants in America, 1880–1940, using a design inspired by Minard and Du Bois. ";"R. J. Andrews and Howard Wainer, “The Great Migration: A Graphics Novel,” Significance, 14:3 (2017), pp. 14–19, Figure 5. (c) The Royal Statistical Society."
"P";20;"P.20";"P_20-RJ-migration2.png";"Flow maps for 1940";"Maps showing the numbers of internal migrants by birthplace and place of residence, as recorded in the 1940 US Census, categorized by racial group, using a design inspired by Minard. ";"R. J. Andrews and Howard Wainer, “The Great Migration: A Graphics Novel,” Significance, 14:3 (2017), pp. 14–19, Figure 6. (c) The Royal Statistical Society."
